frame,blit,drawSides,gBuffer,shading
261,4.032e-05,0.0110725,0.001444,0.00041632
262,4.016e-05,0.0111333,0.0014232,0.00040896
263,4e-05,0.0112042,0.0014272,0.0004128
264,3.92e-05,0.0112435,0.00142816,0.000412
265,3.856e-05,0.0113053,0.00142448,0.00041456
266,3.792e-05,0.0114114,0.00143024,0.00041312
267,3.808e-05,0.0114576,0.00142608,0.00041488
268,3.824e-05,0.0114984,0.00141552,0.00041776
269,3.776e-05,0.0115125,0.00141776,0.00041248
270,3.792e-05,0.0115997,0.0013888,0.00041104
271,3.776e-05,0.0116019,0.00141392,0.000416
272,3.696e-05,0.0116496,0.00138768,0.00041232
273,3.664e-05,0.0116474,0.00138688,0.00041488
274,3.6e-05,0.0117418,0.00136624,0.00041968
275,3.52e-05,0.0117766,0.001356,0.00041504
276,3.424e-05,0.0118173,0.00136416,0.00041792
277,3.344e-05,0.011845,0.00136176,0.0004104
278,3.216e-05,0.011907,0.0013888,0.00042304
279,3.2e-05,0.0120083,0.00137184,0.00042032
280,3.136e-05,0.0120867,0.0013696,0.00041984
281,3.056e-05,0.0122165,0.0013616,0.00042032
282,3.024e-05,0.012336,0.00136512,0.00042112
283,2.896e-05,0.0124011,0.0013776,0.0004176
284,2.928e-05,0.012492,0.0013784,0.00041936
285,2.976e-05,0.0126066,0.00136656,0.00041744
286,2.944e-05,0.0126755,0.00136352,0.0004208
287,2.928e-05,0.0127621,0.00137392,0.00041568
288,2.832e-05,0.012789,0.00137328,0.00041936
289,2.8e-05,0.0128586,0.00137984,0.00041728
290,1.808e-05,0.0128891,0.00137136,0.00042336
291,2.176e-05,0.0129107,0.00137488,0.00042592
292,2.464e-05,0.0128824,0.00137488,0.00042368
293,2.192e-05,0.0129342,0.0013848,0.00042512
294,2.144e-05,0.0129691,0.00138592,0.00042816
295,2.048e-05,0.012971,0.0013984,0.00043008
296,2.032e-05,0.0129806,0.00139664,0.00043072
297,2.128e-05,0.0128862,0.00139712,0.00042688
298,2.24e-05,0.0128317,0.00138912,0.00040816
299,2.144e-05,0.0128613,0.00137856,0.00042704
300,2.224e-05,0.0128317,0.00136624,0.0004256
301,2.064e-05,0.0128216,0.00134368,0.00042496
302,2.096e-05,0.0128595,0.0013192,0.0004288
303,2.24e-05,0.0128432,0.001324,0.00042208
304,2.256e-05,0.0128254,0.00131424,0.00042416
305,1.984e-05,0.012776,0.00131568,0.00042304
306,2.112e-05,0.0127131,0.0013216,0.00042144
307,2.08e-05,0.0127446,0.001328,0.00042416
308,2.064e-05,0.0127781,0.00134048,0.00042624
309,1.904e-05,0.0128333,0.00134368,0.00042784
310,2.192e-05,0.0129627,0.00134656,0.0004272
311,2.192e-05,0.013052,0.0013272,0.00043088
312,2.064e-05,0.0132368,0.00132208,0.000428
313,1.792e-05,0.0133806,0.00131872,0.0004288
314,2.08e-05,0.0133458,0.00131792,0.00042224
315,2.096e-05,0.0135198,0.00132352,0.00042576
316,1.808e-05,0.0134128,0.0013,0.000424
317,1.92e-05,0.0135059,0.00127872,0.00042432
318,1.856e-05,0.0133146,0.00127312,0.0004248
319,1.824e-05,0.0130435,0.00127088,0.00042448
320,1.776e-05,0.0128275,0.00128928,0.00042192
321,1.712e-05,0.0126922,0.0012944,0.00042704
322,1.776e-05,0.0124686,0.00129408,0.00042352
323,1.664e-05,0.0121307,0.00129984,0.00042288
324,1.696e-05,0.0117813,0.0013088,0.00042256
325,1.664e-05,0.0113757,0.00131024,0.00041632
326,1.712e-05,0.0108531,0.00131312,0.00042512
327,1.76e-05,0.0106835,0.0012984,0.00042272
328,2.336e-05,0.0105885,0.0013256,0.00042384
329,2.24e-05,0.0105454,0.0013328,0.00042496
330,2.256e-05,0.0105202,0.00133808,0.00042
331,2.224e-05,0.0104958,0.00135392,0.00041472
332,1.92e-05,0.0104197,0.00138112,0.0004248
333,2.288e-05,0.0103306,0.00140448,0.00042528
334,2.288e-05,0.0103232,0.00144512,0.00042176
335,4.416e-05,0.0102883,0.00146224,0.00041024
336,4.336e-05,0.0102904,0.0014864,0.000412
337,4.336e-05,0.0102968,0.00148832,0.00041104
338,4.288e-05,0.0102995,0.00148976,0.00040864
339,4.224e-05,0.0103114,0.00150336,0.00040704
340,4.208e-05,0.010315,0.00150864,0.0004096
341,4.16e-05,0.0103264,0.00151648,0.00040704
342,4.112e-05,0.0103288,0.00153808,0.00041152
343,4.032e-05,0.0103322,0.00155536,0.00041088
344,3.968e-05,0.0103301,0.0015384,0.0004112
345,3.904e-05,0.010343,0.00153808,0.00041248
346,3.84e-05,0.0103629,0.0015328,0.0004128
347,3.696e-05,0.0103998,0.0015552,0.0004144
348,3.52e-05,0.0104528,0.00154304,0.00041312
349,3.424e-05,0.0105085,0.00152656,0.00041392
350,3.328e-05,0.0105584,0.00152032,0.00041184
351,3.232e-05,0.0105896,0.00156944,0.0004152
352,3.056e-05,0.0105923,0.00160448,0.00041872
353,3.008e-05,0.0105981,0.0016352,0.00041376
354,3.024e-05,0.0105854,0.00167584,0.00041616
355,3.04e-05,0.010597,0.00168656,0.00041728
356,3.056e-05,0.010607,0.0016984,0.000412
357,3.056e-05,0.0106517,0.00173152,0.00041936
358,3.072e-05,0.0106944,0.0017296,0.00041872
359,3.12e-05,0.0107219,0.00176208,0.00042016
360,3.104e-05,0.0107323,0.00178736,0.00041664
361,3.168e-05,0.0107496,0.00179808,0.00041328
362,3.2e-05,0.0107502,0.00180736,0.00041696
363,3.184e-05,0.0107475,0.0018336,0.00041216
364,3.248e-05,0.0107467,0.00184688,0.00041552
365,3.28e-05,0.0107458,0.00186592,0.0004168
366,3.296e-05,0.0107326,0.00187328,0.00042096
367,3.328e-05,0.0107179,0.0018736,0.00041984
368,3.376e-05,0.0107022,0.00187952,0.000408
369,3.44e-05,0.0106858,0.0019024,0.00041408
370,3.584e-05,0.0106645,0.00187664,0.00041408
371,3.584e-05,0.0106376,0.00192672,0.00040832
372,3.6e-05,0.010603,0.00193632,0.00041488
373,3.52e-05,0.0105766,0.00192944,0.0004168
374,3.552e-05,0.0105523,0.00194336,0.0004112
375,3.552e-05,0.010529,0.00196608,0.00040176
376,3.696e-05,0.0104909,0.00193808,0.00040896
377,3.84e-05,0.0104342,0.00191456,0.00040656
378,4.016e-05,0.0103918,0.00194816,0.00041024
379,4.208e-05,0.0103659,0.00195296,0.00040848
380,4.4e-05,0.0103517,0.00198336,0.00040464
381,4.448e-05,0.0103525,0.00196496,0.0004064
382,4.48e-05,0.0103462,0.00194768,0.00040592
383,4.448e-05,0.0103394,0.0019272,0.00040464
384,4.48e-05,0.0103405,0.00188176,0.00040288
385,4.544e-05,0.0103371,0.0018792,0.00040512
386,4.864e-05,0.0103091,0.00170832,0.00040752
387,4.304e-05,0.0103717,0.00185904,0.00039792
388,4.256e-05,0.0103702,0.00185552,0.00039472
389,4.256e-05,0.0103885,0.0018496,0.00039136
390,4.288e-05,0.0103936,0.00169792,0.00039088
391,4.336e-05,0.010397,0.00162304,0.00038384
392,4.368e-05,0.0103984,0.00160288,0.00038736
393,4.384e-05,0.0103928,0.00159024,0.00038624
394,4.416e-05,0.010385,0.00156688,0.0003824
395,4.4e-05,0.0103803,0.00156864,0.00038352
396,4.432e-05,0.0103739,0.00152768,0.00038384
397,4.432e-05,0.0103725,0.00155344,0.0003872
398,4.4e-05,0.0103642,0.0015656,0.00038288
399,4.352e-05,0.010356,0.00155104,0.0003832
400,4.304e-05,0.0103562,0.00156336,0.00038032
401,4.256e-05,0.0103579,0.001572,0.00038384
402,4.176e-05,0.0103536,0.00155056,0.00037568
403,4.096e-05,0.0103544,0.00156112,0.00037536
404,3.984e-05,0.010356,0.00155824,0.0003768
405,3.888e-05,0.0103579,0.00154512,0.00038176
406,3.824e-05,0.0103496,0.00156064,0.00038176
407,3.76e-05,0.0103366,0.00156224,0.00038144
408,3.712e-05,0.0103246,0.00156848,0.00038112
409,3.68e-05,0.0103197,0.00157824,0.000388
410,3.616e-05,0.0103182,0.00157424,0.00038608
411,3.584e-05,0.0103173,0.00158112,0.00039136
412,3.552e-05,0.0103218,0.00159664,0.00039072
413,3.536e-05,0.0103165,0.00160608,0.00039584
414,3.488e-05,0.0103178,0.00160304,0.00039648
415,3.536e-05,0.0103266,0.00159664,0.00039584
416,3.424e-05,0.0103256,0.00160736,0.00039072
417,3.36e-05,0.0103347,0.0016032,0.00040176
418,3.312e-05,0.010343,0.00157248,0.00040064
419,3.248e-05,0.010356,0.0016024,0.00040704
420,3.168e-05,0.0103597,0.0015808,0.00040448
421,3.104e-05,0.0103688,0.00157232,0.00040944
422,3.04e-05,0.0103758,0.0015576,0.00039392
423,3.024e-05,0.0103862,0.0015648,0.00041088
424,3.024e-05,0.010396,0.00155504,0.00041184
425,3.04e-05,0.0104026,0.00154096,0.0004096
426,3.104e-05,0.0104054,0.00152672,0.00041168
427,3.104e-05,0.010413,0.00150688,0.00040832
428,3.088e-05,0.0104171,0.00149648,0.00040816
429,3.168e-05,0.0104174,0.0014848,0.0004104
430,3.184e-05,0.0104171,0.00148704,0.00041136
431,3.248e-05,0.0104206,0.00150656,0.00041296
432,3.248e-05,0.010423,0.00150816,0.00041152
433,3.312e-05,0.010428,0.00151968,0.00041152
434,3.328e-05,0.0104286,0.0015408,0.00040864
435,3.392e-05,0.0104277,0.0015664,0.00041168
436,3.44e-05,0.0104301,0.00158192,0.00041216
437,3.424e-05,0.010436,0.00159248,0.000416
438,3.344e-05,0.010451,0.00157024,0.00041216
439,3.184e-05,0.0104869,0.00152144,0.00040912
440,3.136e-05,0.0105192,0.00146736,0.0004184
441,3.136e-05,0.0105638,0.00142192,0.00041552
442,3.152e-05,0.0106323,0.00139504,0.00041984
443,3.136e-05,0.010723,0.00136736,0.00041744
444,3.152e-05,0.0108547,0.00135696,0.00041296
445,3.184e-05,0.0109762,0.00136752,0.00041648
446,3.184e-05,0.0110747,0.0013784,0.000416
447,3.184e-05,0.0111592,0.00140048,0.00041472
448,3.2e-05,0.0112181,0.00141024,0.00041824
449,3.248e-05,0.0112723,0.00141296,0.00041552
450,3.264e-05,0.0113376,0.0014072,0.00041488
451,3.2e-05,0.0114304,0.00138784,0.00041456
452,3.136e-05,0.0114598,0.00137152,0.0004208
453,2.256e-05,0.0114634,0.00135792,0.00042464
454,2.288e-05,0.0114645,0.00131248,0.0004232
455,2.336e-05,0.0114578,0.0013256,0.0004224
456,2.368e-05,0.0114509,0.00134032,0.00041904
457,2.4e-05,0.0114606,0.00134992,0.00041872
458,2.464e-05,0.0114595,0.00135696,0.00041792
459,2.56e-05,0.0114638,0.00135808,0.00041472
460,2.64e-05,0.0114674,0.0013416,0.000416
461,2.352e-05,0.0114765,0.00133232,0.00041616
462,2.88e-05,0.0114744,0.00133648,0.00040816
463,2.32e-05,0.0114701,0.00131808,0.00041216
464,2.352e-05,0.0114696,0.00131504,0.00040496
465,2.304e-05,0.011464,0.00131136,0.00041232
466,2.336e-05,0.0114614,0.00131536,0.00041216
467,2.336e-05,0.0114622,0.0013048,0.00040896
468,2.288e-05,0.0114648,0.00130816,0.00040896
469,2.288e-05,0.0114594,0.00129472,0.00041152
470,2.272e-05,0.0114571,0.00129296,0.0004112
471,2.288e-05,0.0114467,0.0012928,0.00040912
472,2.112e-05,0.011432,0.0012904,0.0004104
473,1.76e-05,0.0114256,0.0012896,0.00041856
474,1.76e-05,0.0114318,0.00129424,0.00041056
475,1.776e-05,0.0114299,0.001292,0.00041696
476,1.776e-05,0.0113461,0.00129296,0.00041616
477,1.744e-05,0.0112794,0.0012864,0.0004184
478,1.824e-05,0.0111328,0.00128704,0.00041616
479,1.824e-05,0.0110944,0.00127024,0.0004144
480,1.84e-05,0.0111594,0.0012592,0.00042144
481,1.84e-05,0.01126,0.00124896,0.0004248
482,1.792e-05,0.0111822,0.001276,0.00042832
483,1.888e-05,0.0109602,0.00132496,0.00042816
484,2.448e-05,0.010825,0.00137808,0.00042768
485,2.464e-05,0.0107618,0.00138896,0.00042528
486,2.4e-05,0.0107046,0.001388,0.00042128
487,3.024e-05,0.0106872,0.00137504,0.00041904
488,3.008e-05,0.0107163,0.001388,0.00042176
489,2.944e-05,0.0107267,0.00140784,0.00042192
490,2.928e-05,0.0107578,0.00142176,0.00041712
491,2.96e-05,0.0108298,0.00141184,0.00041888
492,2.944e-05,0.0109758,0.0014008,0.00041568
493,2.96e-05,0.0111014,0.00143008,0.00042064
494,2.976e-05,0.0111854,0.0014384,0.00042128
495,2.992e-05,0.0112123,0.00144528,0.00041712
496,3.024e-05,0.0112221,0.00144896,0.0004216
497,3.056e-05,0.0112245,0.00144384,0.00042384
498,3.024e-05,0.0112013,0.0014496,0.00041968
499,3.024e-05,0.0112011,0.0014512,0.00041728
500,3.024e-05,0.0112296,0.00146688,0.00041712
501,3.056e-05,0.0112098,0.00147344,0.0004192
502,3.024e-05,0.0111312,0.0014816,0.00041888
503,3.056e-05,0.0110675,0.00149536,0.00042
504,3.008e-05,0.0109869,0.00149552,0.00042016
505,2.576e-05,0.0108667,0.00150096,0.00042512
506,2.56e-05,0.0108288,0.00151616,0.00041792
507,2.544e-05,0.0107952,0.00151808,0.00041888
508,2.544e-05,0.0107688,0.00151856,0.00042352
509,2.576e-05,0.0107562,0.00153728,0.00042032
510,2.624e-05,0.0107637,0.00155904,0.00042032
511,2.608e-05,0.0107784,0.00155552,0.00040816
512,2.672e-05,0.0107853,0.00156608,0.0004232
513,2.656e-05,0.0107842,0.00156736,0.00041728
514,2.64e-05,0.0107773,0.00156896,0.0004248
515,2.64e-05,0.0107674,0.0015832,0.00042144
516,2.608e-05,0.0107706,0.00157888,0.00042288
517,2.544e-05,0.0107766,0.00157968,0.00041248
518,2.624e-05,0.01078,0.00158464,0.00042048
519,2.576e-05,0.0108013,0.00153824,0.00041904
