frame,blit,drawSides,gBuffer,shading
294,2.128e-05,0.0152734,0.00136848,0.00042416
295,2.048e-05,0.0153077,0.00134592,0.00042
296,2.08e-05,0.015308,0.00138192,0.00042064
297,2.096e-05,0.0152272,0.0013784,0.00042176
298,2.256e-05,0.0151778,0.0013728,0.00042096
299,2.24e-05,0.0151963,0.00136832,0.0004208
300,2.256e-05,0.0151466,0.00133936,0.0004208
301,2.048e-05,0.0151496,0.00132784,0.0004216
302,2.032e-05,0.0151811,0.00131296,0.00042288
303,2.224e-05,0.0151736,0.00131616,0.00042192
304,2.16e-05,0.015167,0.00130032,0.00041344
305,1.984e-05,0.0151109,0.00130848,0.00042352
306,2.112e-05,0.0150891,0.0013152,0.00042192
307,2.048e-05,0.0151274,0.00131696,0.00042528
308,2.048e-05,0.0151712,0.00133248,0.00042176
309,1.936e-05,0.0152242,0.00132736,0.00042256
310,2.16e-05,0.0153571,0.00131984,0.00042416
311,2.224e-05,0.015479,0.00130832,0.00042128
312,2.064e-05,0.0156702,0.00130512,0.00042368
313,1.808e-05,0.0158269,0.00130416,0.00042304
314,2.064e-05,0.0157861,0.00130048,0.00041936
315,2.064e-05,0.0159773,0.00130688,0.00042048
316,1.808e-05,0.0158358,0.00128128,0.00042064
317,1.904e-05,0.0159402,0.00126336,0.00042128
318,1.856e-05,0.0157816,0.00126112,0.00041808
319,1.808e-05,0.015513,0.00123808,0.00042
320,1.792e-05,0.015327,0.001264,0.00041872
321,1.712e-05,0.0152166,0.0012656,0.00042096
322,1.776e-05,0.0150322,0.00127776,0.00041952
323,1.696e-05,0.0147242,0.0012824,0.00042288
324,1.712e-05,0.014407,0.00129312,0.00042576
325,1.696e-05,0.0140398,0.00129664,0.0004176
326,1.712e-05,0.013565,0.00129648,0.0004216
327,1.76e-05,0.0134104,0.00129824,0.0004192
328,2.32e-05,0.0133339,0.00130656,0.00042
329,2.304e-05,0.0132986,0.00130944,0.00041728
330,2.208e-05,0.013285,0.00132208,0.00042
331,2.224e-05,0.0132656,0.00134448,0.00041824
332,1.92e-05,0.0131992,0.00136384,0.00042064
333,2.272e-05,0.0131144,0.00138848,0.00041712
334,2.288e-05,0.0131077,0.00142544,0.00042128
335,4.4e-05,0.013077,0.0014464,0.0004056
336,4.352e-05,0.0130746,0.00148432,0.00040448
337,4.304e-05,0.01308,0.0014752,0.00040224
338,4.272e-05,0.0130806,0.00148,0.00040736
339,4.224e-05,0.0130885,0.0015008,0.00040704
340,4.208e-05,0.0130893,0.00149344,0.00040848
341,4.144e-05,0.0130922,0.0015032,0.00040816
