frame,blit,drawSides,gBuffer,shading
270,3.808e-05,0.0138998,0.0014136,0.00041744
271,3.776e-05,0.0139221,0.00140992,0.00041632
272,3.744e-05,0.0139832,0.00138384,0.0004168
273,3.648e-05,0.0140003,0.0013848,0.00041936
274,3.616e-05,0.0140835,0.00137024,0.00041792
275,3.504e-05,0.0140826,0.0013576,0.00041808
276,3.456e-05,0.0141114,0.00136912,0.00041968
277,3.36e-05,0.0141515,0.00135264,0.00041728
278,3.28e-05,0.0142,0.00137296,0.00041808
279,3.184e-05,0.0142714,0.00137312,0.0004192
280,3.168e-05,0.0143347,0.00137264,0.00041984
281,3.056e-05,0.0144454,0.00136288,0.00042112
282,3.008e-05,0.0145738,0.00136896,0.00042416
283,2.912e-05,0.0146261,0.0013736,0.00042096
284,2.976e-05,0.0146616,0.00137536,0.00041872
285,2.976e-05,0.014815,0.00137632,0.00041616
286,2.96e-05,0.014873,0.00137152,0.00041584
287,2.928e-05,0.0149842,0.0013728,0.0004232
288,2.848e-05,0.0149675,0.0013776,0.00041968
289,2.8e-05,0.0150331,0.00137984,0.00041904
290,1.792e-05,0.0150754,0.00137584,0.00042352
291,2.144e-05,0.0150928,0.00137248,0.00042272
292,2.512e-05,0.015067,0.00138112,0.000424
293,2.16e-05,0.0150874,0.00138736,0.00042592
294,2.176e-05,0.0151296,0.0013952,0.00042768
295,2.048e-05,0.0151331,0.00139456,0.00042352
296,2.064e-05,0.0151502,0.00140416,0.00042432
297,2.096e-05,0.0150771,0.00139728,0.00042368
298,2.288e-05,0.0150346,0.0013848,0.00042352
299,2.272e-05,0.0150712,0.00137856,0.00042544
300,2.24e-05,0.015047,0.00135856,0.00042624
301,2.08e-05,0.0150424,0.00133904,0.00042112
302,2.112e-05,0.0150579,0.00132448,0.00042464
303,2.224e-05,0.0150542,0.00132032,0.00042416
304,2.24e-05,0.0150166,0.00131888,0.00042368
305,2.016e-05,0.0149768,0.00131568,0.00043136
306,2.096e-05,0.0149389,0.0013224,0.00042336
